,word,frequency,example,misspelling,correction
4,tol,36,"Tol-O-Matic, Inc.",NO,tool
5,ttools,6,"ttools, LLC",YES,tool
6,trooly,1,TROOLY INC.,YES,tool
7,tootal,2,Tootal Limited,YES,tool
8,toolux,4,Ningbo Toolux Lighting Company Limited,YES,tool
9,tooltm,2,"Augustus Fire Tool.TM., Inc.",YES,tool
10,toolex,14,Toolex Alpha AB,YES,tool
11,totoltd,1,TOTOLTD.,YES,tool
12,tortola,1,Clariant Finance (BVI) Limited Tortola,YES,tool
13,toppoly,134,Toppoly Optoelectronics Corp.,YES,tool
14,topholm,24,Topholm & Westermann ApS,YES,tool
15,topgolf,5,"Topgolf International, Inc.",YES,tool
16,toolvac,2,Toolvac Engineering AB,YES,tool
17,tooltek,7,Tooltek Engineering Corporation,YES,tool
18,tooltec,2,GREINER TOOL.TEC GMBH,YES,tool
19,toollab,3,"ToolLab, Inc.",YES,tool
20,toolite,1,Toolite Incorporated,YES,tool
21,tooling,515,"Tooling Innovations, Inc.",NO,tool
22,toolgen,4,TOOLGEN INCORPORATED,YES,tool
23,toolema,2,Toolema AB,YES,tool
24,toolbro,7,ToolBro Innovators LLC,YES,tool
25,toolbox,16,The Chefs Toolbox Pty Ltd.,NO,tool
26,tonolli,3,A. Tonolli & C.S.p.A.,YES,tool
27,tomoloo,6,"SHENZHEN TOMOLOO TECHNOLOGY INDUSTRIAL CO., LTD.",YES,tool
28,taboola,3,Taboola Pty. Ltd.,YES,tool
29,trol,45,"Con-Trol-Cure, Inc.",YES,tool
30,towl,2,TOWL CONCEPTS B.V.,YES,tool
31,toul,4,Toul Meditech AB,YES,tool
32,totl,1,Totl Holdings LLC,YES,tool
33,tooz,30,tooz technologies GmbH,YES,tool
34,toot,2,Toot (Engineering) Ltd.,NO,tool
35,toor,3,TOOR INC.,YES,tool
36,toop,1,Toop Holdings Ltd.,YES,tool
37,toon,3,Toon Boom Technologies U.S.A.,NO,tool
38,took,9,Illinois Took Works Inc.,NO,tool
39,tood,1,"AK Tood Technology, Inc.",YES,tool
40,toll,40,"Cubic Toll Systems, Inc.",NO,tool
0,geiegy,1,Ciba-Geiegy Corporation,YES,geigy
1,giegy,5,Ciba-Giegy Corporation,YES,geigy
2,gingy,49,Gingy Technology Inc.,YES,geigy
3,gig,8,"Gig-fx, Inc.",NO,geigy
4,gesig,1,GeSig Energietechnik GmbH,YES,geigy
5,gerig,1,Gerig Grafik Design,YES,geigy
6,geify,1,Ciba-Geify Corporation,YES,geigy
7,geiby,9,Ciba-Geiby Corporation,YES,geigy
8,gei,12,"GEI Systems, Inc.",YES,geigy
9,geg,1,"GEG Consulting & Developing International, LLC",YES,geigy
0,desisgn,1,"Cadence Desisgn Systems, Inc.",YES,design
1,designz,4,"ZUNA DESIGNZ, LLC",YES,design
2,designa,35,Designa Group Inc.,YES,design
3,desicgn,1,"Cadence Desicgn Systems, Inc.",YES,design
4,dsign,5,"DSign Surgical Innovations, LLC",YES,design
5,desing,4,Desing Pierre Tardif Inc.,YES,design
6,desin,7,"Desin, LP",YES,design
7,desgin,3,Gordon Murray Desgin Limited,YES,design
8,deisgn,1,"S & J DEISGN, LLC",YES,design
9,deign,1,"Alliance Deign and Development Group, Inc.",NO,design
10,designin,5,DesignIn Corporation,YES,design
11,designes,1,"SportPet Designes, Inc.",YES,design
12,designer,141,"Designer Molecules, Inc.",NO,design
13,designee,2,"VALCO ACQUISITION LLC AS DESIGNEE OF WESLEY HOLDINGS, LTD",NO,design
14,designed,236,Performance Designed Products LLC,NO,design
15,designco,3,Designco Inc.,YES,design
16,desking,1,Technology Desking Limited,YES,design
17,desgins,2,"ABEEGO DESGINS, INC.",YES,design
18,delsing,1,Jerker Delsing,YES,design
19,deisgns,2,"Stillwater Deisgns and Audio, Inc.",YES,design
20,dezign,2,Dezign Imagineering Limited,YES,design
21,destin,3,DESTIN POWER INC.,YES,design
22,dessin,60,Manufacture d'Articles de Precision et de Dessin - M.A.P.E.D.,YES,design
23,desine,1,nu desine,YES,design
24,desigh,1,Emulex Desigh & Manufacturing Corporation,YES,design
25,densin,1,Kokusai Densin Denwa Kabusiki Kaisha,YES,design
26,drdesigns,2,"DRDesigns, LLC",YES,design
27,designtek,1,DesignTek LLC,YES,design
28,designpro,3,DesignPro Innovations LLC,YES,design
29,designory,2,MAKE-UP DESIGNORY,YES,design
30,designlaw,1,DESIGNLAW LIMITED,YES,design
31,designing,40,"Designing Health, Inc.",NO,design
32,designers,81,Designers Company ApS,NO,design
33,designart,9,Designart Networks Ltd,YES,design
34,designair,2,"Products by DesignAir, Inc.",YES,design
35,d3vdesign,1,D3VDesign LLC,YES,design
36,dressing,6,"Advanced Dressing, LLC",NO,design
37,deisigns,1,"Defense Deisigns, LLC",YES,design
0,appplied,3,"Appplied Materials, Inc.",YES,applied
1,appllied,2,"Appllied Materials, Inc.",YES,applied
2,applieed,2,Hong Kong Applieed Science and Technology Research Institute Co. LTd.,YES,applied
3,appliede,1,"appliedE, Inc.",YES,applied
4,applie,1,Applie Inc.,YES,applied
5,appleid,2,"Appleid Materials, Inc,",YES,applied
6,appled,3,Appled Materials Israel Ltd.,YES,applied
7,appiled,3,"Appiled Materials, Inc.",YES,applied
8,appied,2,"Appied Materials, Inc.",YES,applied
9,appliqued,1,Institut National de Recherche Chimique Appliqued,NO,applied
10,appliedvr,1,"AppliedVR., Inc.",YES,applied
11,appliedus,1,Appliedus Corporation,YES,applied
12,appliedea,1,"AppliedEA, Inc.",YES,applied
13,applyed,1,Applyed Cell Biotechnologies Inc.,YES,applied
14,applies,3,Applies Molecular Transport Inc.,NO,applied
15,appli,1,"APPLI-SMART CO., LTD.",YES,applied
16,appliedbio,1,Applied.Bio Pesquisa e Servicos em Biotecnologia Ltda,YES,applied
17,amsapplied,1,"AMSApplied Medical Software, Inc.",YES,applied
18,aupplies,1,GLOBAL OIL AND GAA AUPPLIES INC.,YES,applied
19,applieoe,1,"Applieoe, Inc.",YES,applied
20,amplimed,1,"Amplimed, Inc.",YES,applied
21,appl,3,Appl Inc.,NO,applied
22,appi,1,APPI Technologia S.A.,Unknown,applied
23,appe,1,Appe Inc.,Unknown,applied
0,brotthers,1,Sulzer Brotthers Limited,YES,brothers
1,berothers,1,"Lever Berothers Company, Division of Conopco, Inc.",YES,brothers
2,bothers,1,"Lever Bothers Company, Division of Conopco, Inc.",NO,brothers
3,brotyher,1,John Wyeth & Brotyher Limited,YES,brothers
4,brothter,1,Brothter Kogyo Kabushiki Kaisha,YES,brothers
5,brothier,2,Les Laboratories Brothier,YES,brothers
6,brothe,2,Brothe Kogyo Kabushiki Kaisha,YES,brothers
7,broher,2,Broher Kogyo Kabushiki Kaisha,YES,brothers
8,bother,3,Bother Kogyo Kabushiki Kaisha,NO,brothers
9,borther,3,Borther Kogyo Kabushiki Kaisha,YES,brothers
10,brorthers,1,Hobart Brorthers Company,YES,brothers
11,bothe,1,"Novoflex GbR Bothe, Hiesinger und Mann",YES,brothers
12,brothey,1,Brothey Kogyo Kabushiki Kaisha,YES,brothers
13,brokers,26,International Bullion and Metal Brokers USA INC.,NO,brothers
14,borchers,10,Borchers GmbH,YES,brothers
15,biother,2,BioTHER Corporation,YES,brothers
0,brandys,1,Pascal Brandys,YES,brands
1,brnads,2,RECKITT BENCKISER (BRNADS) LIMITED,YES,brands
2,brand,855,"Snow Brand Milk Products Co., Ltd.",NO,brands
3,bands,8,"AP BANDS, INC.",NO,brands
4,brandvis,1,Brandvis R&D Limited,UNK,brands
5,brandons,1,"Brandons, Inc.",YES,brands
6,brandels,1,Brandels University,YES,brands
7,brandeis,212,Brandeis University,NO,brands
8,bryans,1,Bryans Southern Instruments Ltd.,YES,brands
9,brians,1,Brians Botanicals,YES,brands
10,briand,1,Etablissements Briand S.A.,YES,brands
11,brauns,1,BRAUNS-HEITMANN GMBH & CO. KG,YES,brands
12,brangs,3,"T.E. Brangs, Inc.",YES,brands
13,brandy,4,Yerevan Brandy Company,YES,brands
14,brandt,917,Deutsche Thomson-Brandt GmbH.,NO,brands
15,brando,1,"Specialty Construction Brando, Inc.",YES,brands
16,brandi,1,"Brandi Renee Designs, LLC",YES,brands
17,brande,1,"Brande Co., Ltd.",YES,brands
18,branda,1,Big Heart Pet Branda,YES,brands
19,brains,29,"Promanthan Brains LLC, Series Gaze only",NO,brands
20,braids,1,"Gemini Braids, Inc.",NO,brands
21,bandes,1,S.F.B.T. Societe Francaise de Bandes Transporteuses,UNK,brands
22,bras,4,Bras-Pol Spolka Z O. O.,NO,brands
23,brandsoft,2,Brandsoft A/S,YES,brands
24,brandsign,2,BRANDSIGN AB,YES,brands
25,brandfast,2,BrandFast LLC,YES,brands
26,bran,29,"Bran-Tec, Inc.",NO,brands
27,brad,12,Brad Harrison Co.,NO,brands
28,band,189,"BAND-LOK, LLC",NO,brands
29,bernards,1,Johannes Gerardus Michel Bernards,YES,brands
0,wirelesss,4,"Cingular Wirelesss II, LLC",YES,wireless
1,wirelss,1,"SpiderCloud Wirelss, Inc.",YES,wireless
2,wireles,2,Conversant Wireles Licensing S.a r.l.,YES,wireless
3,wirleless,1,Avago Technologies Wirleless IP (Singapore) Pte. Ltd.,YES,wireless
4,wiresless,3,Avago Technologies Wiresless IP (Singapore) Pte. Ltd.,YES,wireless
5,wirless,21,Corning Optical Communications Wirless Ltd,YES,wireless
6,wiereless,1,Spotwave Wiereless Canada Inc.,YES,wireless
7,wires,36,Smart Wires Inc.,NO,wireless
8,wiele,152,N.V. Michel Van de Wiele,UNK,wireless
9,wireley,1,Wireley Corporation Pty Ltd,YES,wireless
10,wearless,1,Wearless Tech Inc.,YES,wireless
0,glocbalfoundries,1,GLOCBALFOUNDRIES INC.,YES,globalfoundries
1,globalfounddries,1,GLOBALFOUNDDRIES Inc.,YES,globalfoundries
2,globalfoundaries,12,GLOBALFOUNDARIES INC.,YES,globalfoundries
3,globlfoundries,1,"GLOBLFOUNDRIES, Inc.",YES,globalfoundries
4,globlafoundries,1,GLOBLAFOUNDRIES INC.,YES,globalfoundries
5,globalfounries,3,GLOBALFOUNRIES INC.,YES,globalfoundries
6,globalfoundrie,1,GLOBALFOUNDRIE Inc.,YES,globalfoundries
7,globalfoundres,2,Globalfoundres Inc.,YES,globalfoundries
8,globalfoundreis,1,GLOBALFOUNDREIS INC.,YES,globalfoundries
9,globalfoundires,6,"GLOBALFOUNDIRES, INC.",YES,globalfoundries
10,globalfoundies,2,GLOBALFOUNDIES Inc.,YES,globalfoundries
11,globalfoundiers,1,GLOBALFOUNDIERS Singapore Pte. Ltd.,YES,globalfoundries
12,globalfoudries,4,Globalfoudries Inc.,YES,globalfoundries
13,globalfoudnries,1,GLOBALFOUDNRIES SINGAPORE PTE. LTD.,YES,globalfoundries
14,gloablfoundries,1,GLOABLFOUNDRIES INC.,YES,globalfoundries
15,glogalfoundries,1,"GlogalFoundries, Inc.",YES,globalfoundries
16,globalgoundries,2,GLOBALGOUNDRIES INC.,YES,globalfoundries
17,globalfoundrles,1,GLOBALFOUNDRlES INC.,YES,globalfoundries
18,globalfounders,2,GLOBALFOUNDERS INC.,YES,globalfoundries
19,globalfoundriesinc,1,GLOBALFOUNDRIES.INC,YES,globalfoundries
20,globolfoundries,1,GlobolFoundries Inc.,YES,globalfoundries
0,martlin,1,Martlin Distributing LLC,YES,martin
1,martins,6,"MARTINS MAINTENANCE, INC.",NO,martin
2,martino,7,PASTIFICIO DI MARTINO GAETANO & F.LLI S.P.A.,YES,martin
3,martini,225,Müller Martini Holding AG,NO,martin
4,marting,4,Marting Mfg. Inc.,YES,martin
5,martine,2,Martine Tellwright,YES,martin
6,martain,1,Martain Family Trust,YES,martin
7,matrin,1,LOCKHEED MATRIN CORPORATION,YES,martin
8,marti,4,MARTI GRÜNDUNGSTECHNIK AG,YES,martin
9,marin,251,EM Microelectronic-Marin S.A.,YES,martin
10,martinez,15,"Ceras Especiales Martinez de San Vicente, S.A.",YES,martin
11,martinex,14,Martinex R & D Inc.,YES,martin
12,martines,1,"Martines Properties, LLC",YES,martin
13,martimon,1,Martimon B.V.,YES,martin
14,mareting,1,"Professional Sports Mareting, Inc.",YES,martin
15,mariton,1,Mariton S.A.,YES,martin
16,maitron,1,Maitron Geratebau Ges.m.b.H.,YES,martin
17,mation,6,"Train-A-Mation, Inc.",YES,martin
18,mating,2,"Mating Components, LLC",NO,martin
19,marwin,10,Marwin Foundry Units Limited,YES,martin
20,marvin,533,Marvin Lumber and Cedar Company,YES,martin
21,martyn,3,"Tracie Martyn International, LLC",YES,martin
22,martti,1,Martti Weikko Henttonen,YES,martin
23,marton,1,"Marton & Associates, Inc.",YES,martin
24,martiz,1,"Martiz, Inc.",YES,martin
25,martis,2,"Martis IP Holdings, LLC",YES,martin
26,martil,1,Martil Instruments B.V.,YES,martin
27,marten,4,MARTEN PROFESSIONAL APS,NO,martin
28,marlin,59,The Marlin Firearms Company,NO,martin
29,marion,373,"Hoechst Marion Roussel, Inc.",YES,martin
30,marins,9,"Societe d'Etudes et de Developpement des Aeroglisseurs Marins, Terrestres et Amphibies S.E.D.A.M.",YES,martin
31,marino,20,"Marino Systems, Inc.",NO,martin
32,marini,19,Marini S.p.A.,YES,martin
33,marind,1,"MARIND CO., LTD.",YES,martin
34,marina,91,Marina B. Creation S.A.,NO,martin
35,marian,4,Marian Corporation,NO,martin
36,margin,1,"Saf-T-Margin, Inc.",NO,martin
37,mati,30,Mati Therapeutics Inc.,YES,martin
38,marttinen,2,T. Marttinen Ky,YES,martin
39,martinson,6,"Martinson Manufacturing Company, Inc.",YES,martin
40,martinsen,1,Finn Martinsen A/S,YES,martin
41,martinrea,26,Martinrea International US Inc.,YES,martin
42,martinray,10,Martinray Industries Ltd.,YES,martin
43,martineau,2,"Martineau & Associates, Inc.",YES,martin
44,marthinus,2,Petrus Marthinus Oosthuizen,YES,martin
45,mart,495,"Pro-Mart Industries, Inc.",NO,martin
46,mari,8,"HARI MARI, LLC",YES,martin
47,main,140,Main Street Ventures LLC,NO,martin
48,marni,5,MARNI GROUP S.r.l.,YES,martin
49,marit,1,"Marit Medical Systems, Inc.",YES,martin
50,maint,1,Railcar Maint. Co.,YES,martin
51,matrikon,2,Matrikon Inc.,YES,martin
52,materion,74,MATERION CORPORATION,YES,martin
0,worldã,1,Fordergemeinschaft Ã¢â‚¬Å“Baume fur Menschen Trees of the WorldÃ¢â‚¬Â e.V.,UNK,world
1,worlds,56,"Worlds of Wonder, Inc.",NO,world
2,worl,4,"Visible Worl, Inc.",YES,world
3,word,22,By-Word Corporation,NO,world
4,wolrd,3,"ANDREU WOLRD, S.A.",YES,world
5,wormald,17,Wormald U.S. Inc.,YES,world
6,worldvu,25,WORLDVU SATELLITES LIMITED,YES,world
7,worldra,2,Worldra Co. Ltd.,YES,world
8,worldly,1,"Worldly Innovations, Inc.",NO,world
9,worldia,1,"BEIJING WORLDIA DIAMOND TOOLS CO., LTD",YES,world
10,wiworld,6,"WIWORLD CO., LTD",YES,world
11,wordle,1,Wordle Pty. Ltd.,YES,world
12,worlwide,20,Worlwide Semiconductor Manufacturing Corp.,YES,world
13,worldviz,11,"WorldViz, Inc.",YES,world
14,worldtex,1,"Worldtex, Inc.",YES,world
15,worldtec,1,"WorldTec Systems, Inc.",YES,world
16,worldpro,2,"WORLDPRO GROUP, L.L.C.",YES,world
17,worldpay,72,"Worldpay, LLC",YES,world
18,worldpak,1,"Worldpak, Inc.",YES,world
19,worldone,1,"WORLDONE, INC.",YES,world
20,worldmax,1,Worldmax International Inc.,YES,world
21,worldled,3,"Worldled Co., Ltd.",YES,world
22,worldcom,197,"WorldCom, Inc.",YES,world
23,worldcam,1,WORLDCAM LLC,YES,world
24,weeworld,1,Weeworld Limited,YES,world
25,wrl,2,"PVT-WRL, LLC",UNK,world
26,would,1,"Would Care Technologies, LLC",NO,world
27,worlk,1,Illinois Tool Worlk Inc,YES,world
28,worle,1,"Federal-Mogul Worle Wide, Inc.",YES,world
29,words,7,"Way With Words, Inc.",NO,world
30,wol,3,Wol Systembau Gesellschaft m.b.H.,YES,world
31,woerd,1,De Woerd B.V.,YES,world
0,loabs,1,"Toaster Loabs, Inc.",YES,labs
1,labsã,1,SHEC LabsÃ¢â‚¬â€Solar Hydrogen Energy Corporation,UNK,labs
2,laabs,1,"Douglas & Laabs, Inc.",YES,labs
3,lbs,2,"Inventergy LBS, LLC",YES,labs
4,lasb,1,"Lasb Laser, Corp.",YES,labs
5,las,180,"THE BOARD OF REGENTS OF THE NEVADA SYSTEM OF HIGHER EDUCATION ON BEHALF OF THE UNIVERSITY OF NEVADA, LAS VEGAS",NO,labs
6,lab,1675,"Kaspersky Lab, ZAO",NO,labs
7,lzlabs,5,LZLABS GMBH,YES,labs
8,lambus,1,Lambus Enterprises Inc.,YES,labs
9,labyes,1,"LABYES USA, LLC",YES,labs
10,labsys,1,LabSys LLC,YES,labs
11,labrys,12,"Labrys Biologics, Inc.",YES,labs
12,labels,33,Owens-Illinois Labels Inc.,NO,labs
13,lambson,4,Lambson Limited,YES,labs
14,labtest,3,"Labtest International, Inc.",YES,labs
15,labless,1,"Labless, Israel",YES,labs
16,labinst,2,Labinst S.A.S.,YES,labs
17,laws,1,C.E.R.P.H.A. a French Society organised under the laws of France,NO,labs
18,lars,44,Lars Collin Consult AB,YES,labs
19,lans,5,Kalmar Lans Landsting,YES,labs
20,lams,1,"Weatherford/Lams, Inc.",NO,labs
21,laks,1,LAKS GmbH,YES,labs
22,lads,4,"Sang Lads, Inc.",NO,labs
23,lacs,1,Corporate Commission of Mille Lacs Band of Ojibwe Indians,NO,labs
24,laby,10,"Henkin-Laby, LLC",YES,labs
25,labo,48,Le Labo Inc.,YES,labs
26,labe,7,"Molon Labe, LLC",YES,labs
27,lab9,1,LAB9 INC.,YES,labs
28,laas,3,Laas & Sonder Pty Ltd,YES,labs
0,metalsa,11,Metalsa Servicios Sde RL,YES,metals
1,metales,4,MOLIBDENOS Y METALES S.A.,YES,metals
2,metlas,1,"Komatsu Electronic Metlas Co., Inc.",YES,metals
3,meals,5,"Meals, LLC",NO,metals
4,metaplas,18,SULZER METAPLAS GMBH,YES,metals
5,metalast,5,"Metalast, S.A. (Sociedad Unipersonal)",YES,metals
6,metzlas,1,"Metzlas, Inc.",YES,metals
7,metglas,42,"Metglas, Inc.",YES,metals
8,meatals,1,GKN Sinter Meatals GmbH,YES,metals
9,muetal,3,"Muetal, Inc.",YES,metals
10,metuas,2,Metuas Medikal Saglik Hizmetleri Danismanlik Ihracat Ithalat Limited Sirketi,YES,metals
11,metels,1,"Hitachi Metels, Ltd.",YES,metals
12,metcal,72,"Metcal, Inc.",YES,metals
13,metaly,1,METALY S.R.L.,YES,metals
14,metalo,2,Metalo Monti V.O.F.,YES,metals
15,metall,189,Preussag Aktiengesellschaft Metall,NO,metals
16,metali,8,Biuro Projectow Przemyslu Metali Niezelaznych BIPROMET,YES,metals
17,metail,14,METAIL LIMITED,YES,metals
18,metaal,7,Laura Metaal Holding B.V.,YES,metals
19,mental,153,Centre for Addiction and Mental Health,NO,metals
20,mtls,6,MTLS Lighting Inc.,YES,metals
21,mets,8,"Mets, Inc.",YES,metals
22,metl,2,Metl-Saw System Inc,YES,metals
23,meterials,1,"THE SIXTH ELEMENT (CHANGZHOU) METERIALS TECHNOLOGY CO., LTD.",YES,metals
24,metaplast,4,SKS Metaplast Scheffer-Klute GmbH,YES,metals
25,metalysis,15,METALYSIS LIMITED,YES,metals
26,metalwash,5,Metalwash Machinery Corp.,YES,metals
27,metalsoft,1,Metalsoft Center,YES,metals
28,metalsnab,1,P S P Metalsnab,YES,metals
29,metalskin,1,Metalskin Technologies SAS,YES,metals
30,metalseat,4,Metalseat SrL,YES,metals
31,metalplas,1,Metalplas Forming Technology (Zhuhai) Ltd.,YES,metals
32,metalmast,2,"Metalmast Marine, Inc.",YES,metals
33,metallics,2,Chicago Metallics Corporation,NO,metals
34,metalines,17,"Metalines, Inc.",YES,metals
35,metalincs,1,i365 MetaLINCS,YES,metals
36,metalicos,7,"Metalicos de Tecnologia Avanzada, S.A. de C.V.",NO,metals
37,metalicas,30,Brasilata S/A Embalagens Metalicas,NO,metals
38,metalguss,1,ABR Metalguss GmbH,YES,metals
39,metalglas,1,METALGLAS BONOMI S.r.l.,YES,metals
40,metalaser,4,"Metalaser Technologies, Inc.",YES,metals
41,metaflush,1,Metaflush Pty Ltd,YES,metals
42,metabolys,3,METABOLYS,YES,metals
43,meta,198,"Meta View, Inc.",NO,metals
44,meas,29,Meas Deutschland GmbH,YES,metals
45,meal,10,Roman Meal Company,NO,metals
46,metsa,26,Metsa-Serla OY,YES,metals
47,melas,9,"Melas, Inc.",YES,metals
48,meats,16,MEATY MEATS INC.,NO,metals
49,mates,6,Ladder Mates USA,NO,metals
50,metasolv,5,"Metasolv Software, Inc.",YES,metals
51,mateials,4,"Applied Mateials, Inc.",YES,metals
0,fujjitsu,1,Fujjitsu Limited,YES,fujitsu
1,fujitsul,1,Fujitsul Limited,YES,fujitsu
2,fujitsui,1,Fujitsui Limited,YES,fujitsu
3,fujitsiu,1,Fujitsiu Limited,YES,fujitsu
4,fujitisu,4,Fujitisu Limited,YES,fujitsu
5,fujiitsu,1,Fujiitsu Limited,YES,fujitsu
6,fujtsu,4,Fujtsu Limited,YES,fujitsu
7,fujtisu,13,Fujtisu Limited,YES,fujitsu
8,fujitus,6,Fujitus Limited,YES,fujitsu
9,fujitu,9,Fujitu Limited,YES,fujitsu
10,fujits,1,Fujits Limited,YES,fujitsu
11,fujisu,5,Fujisu Limited,YES,fujitsu
12,fujistu,29,Fujistu Limited,YES,fujitsu
13,fuitsu,2,FUITSU LIMITED,YES,fujitsu
14,fuijtsu,3,Fuijtsu Limited,YES,fujitsu
15,fjuitsu,2,Fjuitsu Limited,YES,fujitsu
16,fijutsu,3,Fijutsu Limited,YES,fujitsu
17,fujitsubo,2,Fujitsubo Giken Kogyo Company Limited,YES,fujitsu
18,futjitsu,3,Futjitsu Limited,YES,fujitsu
19,fujistsu,2,Fujistsu Limited,YES,fujitsu
20,fuuitsu,1,Fuuitsu Limited,YES,fujitsu
21,fumitsu,3,Kyushu Fumitsu Electronics Limited,YES,fujitsu
22,fukitsu,2,Fukitsu VLSI Limited,YES,fujitsu
23,fujutsu,5,Fujutsu Limited,YES,fujitsu
24,fujitso,1,Fujitso Ten Limited,YES,fujitsu
25,fujitsi,6,FUJITSI LIMITED,YES,fujitsu
26,fujitju,1,Fujitju Limited,YES,fujitsu
27,fujiisu,1,Fujiisu Limited,YES,fujitsu
28,fujigsu,1,Fujigsu Limited,YES,fujitsu
29,fuiitsu,1,Fuiitsu Limited,YES,fujitsu
30,fuhitsu,1,Fuhitsu Limited,YES,fujitsu
31,fugitsu,1,Fugitsu Limited,YES,fujitsu
32,fujisoku,13,"Fujisoku Electric Co., Ltd.",YES,fujitsu
33,fujuitsu,1,Fujuitsu Limited,YES,fujitsu
34,futs,1,Futs Metalliques Gallay S.A.,UNK,fujitsu
35,fits,18,FITS—Functional Interactive Timing System Ltd.,NO,fujitsu
36,fijitsu,31,Fijitsu Limited,YES,fujitsu
0,interllectual,1,BAYER INTERLLECTUAL PROPERTY GMBH,YES,intellectual
1,intellectutal,2,"AT&T Intellectutal Property I, LP",YES,intellectual
2,intellectural,9,"PANASONIC INTELLECTURAL PROPERTY MANAGEMENT CO., LTD.",YES,intellectual
3,intellectuasl,1,"Panasonic Intellectuasl Property Management Co., Ltd.",YES,intellectual
4,intellectuals,3,"BG Intellectuals, Inc.",NO,intellectual
5,intellectuall,3,"AT&T Intellectuall Property II, L.P.",YES,intellectual
6,intellectrual,1,"AT & T Delaware Intellectrual Property, Inc.",YES,intellectual
7,initellectual,1,"Panasonic Initellectual Property Management Co., Ltd.",YES,intellectual
8,iintellectual,2,"Cummins Iintellectual Property, Inc.",YES,intellectual
9,itellectual,3,"Panasonic Itellectual Property Management Co., Ltd.",YES,intellectual
10,intelletual,14,"Panasonic Intelletual Property Management Co., Ltd.",YES,intellectual
11,intellecutal,36,"AT&T INTELLECUTAL PROPERTY I, L.P.",YES,intellectual
12,intellecual,3,"PANASONIC INTELLECUAL PROPERTY MANAGEMENT CO., LTD.",YES,intellectual
13,intellectul,4,"AT&T Intellectul Property I, L.P.",YES,intellectual
14,intellectua,1,BellSouth Intellectua Property Corporation,YES,intellectual
15,intellectaul,3,"AT&T Intellectaul Property I, L.P.",YES,intellectual
16,intellctual,11,"AT&T Intellctual Property II, L.P.",YES,intellectual
17,intelelctual,3,"AT&T Intelelctual Property I, L.P.",YES,intellectual
18,intellecutual,3,"AT&T Intellecutual Property II, L.P.",YES,intellectual
19,inteellectual,1,"International Truck Inteellectual Property Company, LLC",YES,intellectual
20,intecllectual,1,"International Truck Intecllectual Property Company, LLC",YES,intellectual
21,intellectial,3,SANDVIK INTELLECTIAL PROPERTY AB,YES,intellectual
22,inteleectual,2,"Vaghi Family Inteleectual Properties, LLC.",YES,intellectual
23,intellectuele,1,VolkerWessels Intellectuele Eigendom B.V.,YES,intellectual
24,inttellectual,1,"PANASONIC INTTELLECTUAL PROPERTY MANAGEMENT CO., LTD.",YES,intellectual
25,intellect,42,CAPITAL INTELLECT INC.,NO,intellectual
26,intelluctual,1,"International Truck Intelluctual Property Company, LLC",YES,intellectual
27,intellectus,1,"INTELLECTUS STATISTICS, LLC",YES,intellectual
28,intellectum,1,Intellectum Plus Inc.,YES,intellectual
29,inteelectual,1,"PANASONIC INTEELECTUAL PROPERTY MANAGEMENT CO., LTD.",YES,intellectual
30,inellectual,3,Virginia Tech Inellectual Properties Inc.,YES,intellectual
31,intellectuelle,1,Bureau de la Propriete Intellectuelle de la Delegation Generale pour l'Armement,YES,intellectual
32,intelllectual,4,BellSouth Intelllectual Property Corporation,YES,intellectual
33,inteletual,1,"THORNE CONSULTING and INTELETUAL PROPERTY, LLC",YES,intellectual
34,intettectual,1,"PANASONIC INTETTECTUAL PROPERTY MANAGEMENT CO., LTD.",YES,intellectual
0,lttd,2,"LG DISPLAY CO., LTTD.",YES,ltd
1,ltgd,1,"Teva Pharmaceutical Industries, Ltgd.",YES,ltd
2,ltfd,1,Dali Systems Co. Ltfd.,YES,ltd
3,lted,1,"Sanyo Electric Co., Lted.",YES,ltd
4,ltdã,1,Zakrytoye aktsionernoye obschestvo Ã¢â‚¬Å“Autex LtdÃ¢â‚¬Â,UNK,ltd
5,ltds,8,Melling do Brasil Componentes Automotivos Ltds.,YES,ltd
6,ltdq,1,"SAMSUNG ELECTRONICS CO., LTD.Q",YES,ltd
7,ltdk,1,"Matsushita Electric Industrial Co., Ltd.k",YES,ltd
8,ltde,1,"Marcon Electronics Co., Ltde.",YES,ltd
9,ltdd,2,"Baoshan Iron & Steel Co., Ltd.d",YES,ltd
10,ltda,1012,INDUSTRIAS REUNIDAS COLOMBO LTDA.,YES,ltd
11,lmtd,6,"Suntory Flowers, Lmtd.",YES,ltd
12,lltd,2,"Shenzhen China Star Optoelectronics Semiconductor Display Technology Co., Lltd",YES,ltd
13,litd,8,Toa Eiyo Litd.,YES,ltd
14,letd,3,"Siliconware Precision Industries Co., Letd.",YES,ltd
15,lctd,1,"LCTD, L.L.C.",YES,ltd
16,lt,112,Chapman's LT Plus,NO,ltd
17,ltdco,2,British Telecommunications Public Ltd.Co.,YES,ltd
18,lyd,7,"Curtis Dyna-Fog, Lyd.",YES,ltd
19,lxd,1,"LXD Research & Display, LLC",YES,ltd
20,lvd,11,"LVD Acquisition, LLC",YES,ltd
21,lud,2,LUD'O S.R.L.,YES,ltd
22,lty,2,Silverbrook Research Lty Ltd,YES,ltd
23,ltx,44,LTX Corporation,YES,ltd
